Fechas,Angostura,Arenal,Balsa Inferior,Boca de Pozo,Cachí,Cariblanco,Chucás,Cote,Cubujuquí,Dengo,Doña Julia,Echandi,El Angel,Garita,Intercambio Norte,Intercambio Sur,Las Pailas II,Los Negros,Los Negros II,Los Santos,MOVASA,Matamoros,Miravalles I,Miravalles II,Miravalles III,Miravalles V,Parque Solar Miravalles,Peñas Blancas,Pirrís,Pocosol,Reventazón,Río Macho,Sandillal,Tejona,Torito,Toro I,Toro II,Toro III,Valle Central,Ventanas,Ventanas-Garita
2022-09-01 00:00:00.0,141.43675,30.564,4.685225,4.232,109.1395,27.07625,0.0,0.0,7.283,40.99825,7.370848,3.018,0.0,23.553,-226.231,38.640614,47.1665,0.0,19.697059,0.8536,0.178737,3.182723,46.08,45.888,0.0,0.0,0.0,0.0,139.0665,14.3771,118.555,0.0,16.148,0.0,50.325275,14.0285,25.62225,20.41975,0.037,1.9771,78.70962
2022-09-01 01:00:00.0,144.32775,30.44,5.912758,4.232,91.40375,27.06675,0.0,0.0,7.0008,41.049,6.442499,4.055,0.0,23.5575,-223.200179,34.778864,47.15,0.0,19.704869,0.0,0.005805,3.222377,46.08,45.942,0.0,0.0,0.0,0.0,124.174,13.0573,101.74963,0.0,16.135,0.0,51.447413,14.0275,25.65025,20.39937,0.0299,4.9344,78.80025
2022-09-01 02:00:00.0,144.51775,30.426,5.903272,4.24,91.466,27.07125,0.0,0.0,3.3708,41.05025,6.409284,4.057,0.0,23.529,-220.682279,35.892657,47.1525,0.0,20.612276,0.0,0.0,3.481981,46.08,46.012,0.0,0.0,0.0,0.0,103.1855,12.5927,100.23987,0.0,16.1205,0.0,51.470937,14.0315,25.55325,20.28875,0.1511,4.9219,78.6885
2022-09-01 03:00:00.0,145.501,30.4195,5.912391,4.232,97.69325,27.0555,0.0,0.0,0.0,41.041,6.407023,4.052,0.0,23.553,-219.30814,35.065,47.142,0.0,19.523115,0.0,0.0,3.537717,46.336,45.9834,0.0,0.0,0.0,0.0,111.092,12.0918,107.89563,0.0,16.1165,0.0,51.822574,14.0285,25.638,20.2845,0.0244,4.9023,78.82038
2022-09-01 04:00:00.0,155.5035,30.444,5.919657,4.24,110.7985,28.5645,0.0,0.0,3.5938,44.1175,6.404541,4.052,0.0,23.57675,-222.594961,38.631338,47.121,0.0,18.124961,0.0,0.0,3.539614,46.08,45.95311,0.0,0.0,0.0,0.0,127.695,12.0845,138.57131,0.0,16.143,0.0,52.385925,14.031,26.61225,20.86963,0.0,4.8984,78.81987
2022-09-01 05:00:00.0,167.2515,32.269,5.917437,4.232,132.88575,40.40825,8.533843,0.0,7.0057,52.844,6.691838,4.047,0.0,23.56875,-225.646841,46.018495,47.1365,0.0,18.11508,0.0,0.0,3.537499,46.336,46.03394,0.0,0.0,0.0,0.0,139.3895,10.5093,209.32269,0.0,16.174,0.0,52.513498,11.702,31.0805,23.67362,0.0,4.9002,78.83988
2022-09-01 06:00:00.0,157.09925,38.5335,5.244966,1.992,154.8685,37.059,50.891599,0.0,10.3299,49.0505,7.680399,4.059,0.0,21.55625,-222.407353,57.17393,47.142,0.0,18.592023,0.0,0.0,3.610944,46.08,46.12974,0.0,0.0,0.023,0.0,138.9705,15.4664,196.96543,0.0,16.171,0.0,52.403796,10.0735,29.6465,22.82563,0.0589,5.0176,78.89237
2022-09-01 07:00:00.0,151.00925,38.4795,5.916981,4.216,154.92,37.074,50.922435,0.0,9.9517,49.159,8.818729,4.059,0.0,17.03775,-219.263091,99.234601,47.0465,0.0,18.598223,0.0,0.0,3.664613,46.08,45.89517,0.0,0.0,0.107,0.0,126.842,15.4379,213.68069,0.0,11.5705,0.0,52.066965,10.0735,29.65575,22.76812,0.0299,5.0648,78.8935
2022-09-01 08:00:00.0,138.2855,33.564,5.912697,4.224,154.98575,38.671,50.822806,0.0,10.6647,54.096,9.806958,4.052,0.0,19.646,-220.894105,132.588016,46.988,0.0,18.417578,0.063,0.0,3.649524,46.08,45.72631,0.0,0.0,0.125,0.0,132.128,15.8271,247.28219,0.0,8.0615,0.0,49.043678,10.0755,31.42575,23.84538,0.0022,5.0582,78.8775
2022-09-01 09:00:00.0,146.519,30.8805,5.897606,4.216,154.924,40.07725,50.759118,2.2889,13.0869,46.57,12.699583,4.063,0.0,19.64125,-217.855046,133.302474,46.9345,0.0,18.723186,0.417,0.0,3.431485,45.824,45.65164,0.0,0.0,0.104,0.0,139.424,16.725,259.89381,0.0,8.0595,0.0,51.255947,12.477,38.00825,28.71087,0.0,5.0536,78.70825
